  Language_ISO639;eu
  Author_Email;alexgabi@disroot.org
  Author_Name;Alexander Gabilondo
  Author_OldNames;Xabier Aramendi
  Language_Name;Euskara
  Config_Text_ColumnSize;40
  Config_Text_Separator; : 
  Config_Text_NumberTag; Z
  Config_Text_FloatSeparator;,
  Config_Text_ThousandsSeparator; 
 audio stream1; audio jarioa
 audio stream2; audio jarioa
 audio stream3; audio jarioa
 bit1; bit
 bit2; bit
 bit3; bit
 Bps; Bps
 bps; bps
 Byte1; Byte
 Byte2; Byte
 Byte3; Byte
 channel1; kanala
 channel2; kanala
 channel3; kanala
 chapter1; kapitulua
 chapter2; kapitulua
 chapter3; kapitulua
 chapters stream1; kapituluen jarioa
 chapters stream2; kapituluen jarioa
 chapters stream3; kapituluen jarioa
 character1;karaktere
 character2;karaktere
 character3;karaktere
 day1; egun
 day2; egun
 day3; egun
 dB0; dB
 dB1; dB
 dB2; dB
 dB3; dB
 file1; fitxategia
 file2; fitxategia
 file3; fitxategia
 fps1; fps
 fps2; fps
 fps3; fps
 frame1; fotograma
 frame2; fotograma
 frame3; fotograma
 GB; GB
 Gb; Gb
 GBps; GBs-ko
 Gbps; Gbs-ko
 GHz; GHz
 GiB; GiB
 GibiByte1; GibiByte
 GibiByte2; GibiByte
 GibiByte3; GibiByte
 GiBps; GiBps
 GigaBit1; GigaBit
 GigaBit2; GigaBit
 GigaBit3; GigaBit
 GigaByte1; GigaByte
 GigaByte2; GigaByte
 GigaByte3; GigaByte
 hour1; ordu
 hour2; ordu
 hour3; ordu
 Hz; Hz
 image stream1; irudi jarioa
 image stream2; irudi jarioa
 image stream3; irudi jarioa
 KB; KB
 Kb; Kb
 KBps; KBps
 Kbps; Kbps
 KHz; KHz
 KiB; KiB
 KibiBit1; KibiBit
 KibiBit2; KibiBit
 KibiBit3; KibiBit
 KibiByte1; KibiByte
 KibiByte2; KibiByte
 KibiByte3; KibiByte
 KiBps; KiBps
 KiloBit1; KiloBit
 KiloBit2; KiloBit
 KiloBit3; KiloBit
 KiloByte1; KiloByte
 KiloByte2; KiloByte
 KiloByte3; KiloByte
 MB; MB
 Mb; Mb
 MBps; MBps
 Mbps; Mbps
 MebiBit1; MebiBit
 MebiBit2; MebiBit
 MebiBit3; MebiBit
 MebiByte1; MebiByte
 MebiByte2; MebiByte
 MebiByte3; MebiByte
 MegaBit1; MegaBit
 MegaBit2; MegaBit
 MegaBit3; MegaBit
 MegaByte1; MegaByte
 MegaByte2; MegaByte
 MegaByte3; MegaByte
 MHz; MHz
 MiB; MiB
 Mib; Mib
 MiBps; MiBps
 millisecond1; milisegundo
 millisecond2; milisegundo
 millisecond3; milisegundo
 minute1; minutu
 minute2; minutu
 minute3; minutu
 month1; hilabete
 month2; hilabete
 month3; hilabete
 object1; objektu
 object2; objektu
 object3; objektu
 pixel1; pixel
 pixel2; pixel
 pixel3; pixel
 second1; segundo
 second2; segundo
 second3; segundo
 slice per frame1; mozketa fotogramako
 slice per frame2; mozketa fotogramako
