  Language_ISO639;it
  Author_Email;dr4k0@altervista.org  - bovirus@live.it
  Author_Name;Dr4k0 & Bovirus (v. 0.7.68 - 04.04.2014)
  Author_OldNames;Dr4k0 & Bovirus
  Language_Name;Italiano
  Config_Text_ColumnSize;40
  Config_Text_Separator;: 
  Config_Text_NumberTag; #
  Config_Text_FloatSeparator;,
  Config_Text_ThousandsSeparator;.
 audio stream1; traccia audio
 audio stream2; tracce audio
 audio stream3; tracce audio
 bit1; bit
 bit2; bit
 bit3; bit
 bps; b/s
 Bps; B/s
 Byte1; Byte
 Byte2; Byte
 Byte3; Byte
 channel1; canale
 channel2; canali
 channel3; canali
 chapter1; capitolo
 chapter2; capitoli
 chapter3; capitoli
 chapters stream1; traccia capitoli
 chapters stream2; traccia capitoli
 chapters stream3; traccia capitoli
 character1;
 character2;
 character3;
 day1; giorno
 day2; giorni
 day3; giorni
 dB1; dB
 dB2; dB
 dB3; dB
 file1; file
 file2; file
 file3; file
 fps1; FPS
 fps2; FPS
 fps3; FPS
 frame1; frame
 frame2; frame
 frame3; frame
 GB; GB
 Gb; Gb
 Gbps; Gb/s
 GBps; GB/s
 GHz; GHz
 GiB; GiB
 GibiByte1; GibiByte
 GibiByte2; GibiByte
 GibiByte3; GibiByte
 GiBps; GiB/s
 GigaBit1; GigaBit
 GigaBit2; GigaBit
 GigaBit3; GigaBit
 GigaByte1; GigaByte
 GigaByte2; GigaByte
 GigaByte3; GigaByte
 hour1; ora
 hour2; ore
 hour3; ore
 Hz; Hz
 image stream1; flusso immagine
 image stream2; flusso immagini
 image stream3; flusso immagini
 KB; kB
 Kb; kb
 KBps; kB/s
 Kbps; kb/s
 KHz; kHz
 KiB; KiB
 KibiBit1; KibiBit
 KibiBit2; KibiBit
 KibiBit3; KibiBit
 KibiByte1; KibiByte
 KibiByte2; KibiByte
 KibiByte3; KibiByte
 KiBps; KiB/s
 KiloBit1; KiloBit
 KiloBit2; KiloBit
 KiloBit3; KiloBit
 KiloByte1; KiloByte
 KiloByte2; KiloByte
 KiloByte3; KiloByte
 MB; MB
 Mb; Mb
 Mbps; Mb/s
 MBps; MebiByte
 MebiBit1; MeBit
 MebiBit2; MebiBit
 MebiBit3; MebiBit
 MebiByte1; MebiByte
 MebiByte2; MebiByte
 MebiByte3; MebiByte
 MegaBit1; MegaBit
 MegaBit2; MegaBit
 MegaBit3; MegaBit
 MegaByte1; MegaByte
 MegaByte2; MegaByte
 MegaByte3; MegaByte
 MHz; MHz
 MiB;MiB
 Mib; Mib
 MiBps; MiBps
 millisecond1; millisecondo
 millisecond2; millisecondi
 millisecond3; millisecondi
 minute1; minuto
 minute2; minuti
 minute3; minuti
 month1; mese
 month2; mesi
 month3; mesi
 pixel1; pixel
 pixel2; pixel
 pixel3; pixel
 second1; secondo
 second2; secondi
 second3; secondi
 text stream1; sottotitolo
 text stream2; sottotitoli
 text stream3; sottotitoli
 video frames1; frame
 video frames2; frame
 video frames3; frame
 video stream1; traccia video
 video stream2; tracce video
 video stream3; tracce video
 warppoint0;No warppoints
 warppoint1; warppoint
 warppoint2; warppoint
 warppoint3; warppoint
 week1; settimana
 week2; settimane
 week3; settimane
 year1; anno
 year2; anni
 year3; anni
, ;, 
: ;: 
3D;
3DType;
About;Informazioni
About_Hint;Come contattare l'autore e ottenere l'ultima versione
Accompaniment;Accompagnamento
ActiveFormatDescription;Descrizione formato attivo
ActiveFormatDescription_MuxingMode;Descrizione formato attivo, modo muxing
Actor;Attore
Actor_Character;Personaggio
Added_Date;Data
Address;Indirizzo
AdID;
Advanced;Modalità avanzata
Advanced mode;Modalità avanzata
Album;Album
Album_ReplayGain_Gain;Album replay gain
Album_ReplayGain_Peak;Album replay gain peak
Alignment;Allineamento
Alignment_Aligned;Audio allineato 
Alignment_Split;Audio splittato
All;Tutti
AlternateGroup;
Archival_Location;Posizione dell'archivio
Arranger;Compositore
ArtDirector;Regista
AspectRatio;Rapporto d'aspetto
AssistantDirector;Assistente regista
at;a
At least one file;(Devi aprire almeno un file)
Audio;Audio
Audio stream(s);Tracce audio
Audio_Codec_List;Codec audio
Audio_No;Nessun audio
Audio1;Prima traccia audio
Audio2;Seconda traccia audio
AudioComments;
AudioCount;Numero di tracce sonore
AudioDescriptionPresent;
AudioDescriptionType;
AudioLoudnessStandard;
AudioTrackLayout;
Author;Autore
BarCode;Codice a barre
Basic;Semplice
Basic_Note;Nota: per maggiori informazioni seleziona Scheda, Albero....
BedChannelConfiguration;
BedChannelCount;
BitDepth;Profondità bit
BitDepth_Detected;
BitDepth_Stored;
BitRate;Bitrate
BitRate_Encoded;Bitrate codifica
BitRate_Maximum;Bitrate massimo
BitRate_Minimum;Bitrate minimo
BitRate_Mode;Modalità bitrate
BitRate_Mode_CBR;Costante
BitRate_Mode_VBR;Variabile
BitRate_Nominal;Bitrate nominale
Bits-(Pixel*Frame);Bit/(pixel*frame)
BufferSize; Dim. buffer
Cancel;Annulla
Channel(s);Canali
ChannelLayout;
ChannelPositions;Posizione canali
Chapter(s);Capitoli
Chapters;Capitoli
Chapters stream(s);Capitoli
Chapters_Codec_List;Codec capitoli
Chapters_No;Nessun capitolo
ChaptersCount;Numero dei capitoli
CheckNewVersion;verifica nuova versione
Choose custom;Vista personalizzata
Choose custom sheet;Personalizza modalità scheda
Choose custom text;Personalizza modalità testo
Choose export format;Scegli il formato in cui esportare
Choose file(s);Seleziona i file da aprire
Choose filename;Inserire il nome del file
Choose language;Scegli la lingua
Choreographer;Coreografo
Chroma;Croma
ChromaSubsampling;Croma subsampling
ClearList;
Close;Chiudi
Close all before open;Chiudi tutto prima di aprire
ClosedCaptionsLanguage;
ClosedCaptionsPresent;
ClosedCaptionsType;
Codec;Codec
Codec_Description;Descrizione del codec
Codec_Info;Dettagli sul codec
Codec_Profile;Profilo codec
Codec_Settings;Impostazioni del codec
Codec_Settings_BVOP;Impostazioni del codec, BVOP
Codec_Settings_CABAC;Impostazioni del codec, CABAC
Codec_Settings_Endianness;Impostazioni del codec, Endianess
Codec_Settings_Firm;Impostazioni del codec, Firm
Codec_Settings_Floor;Impostazioni del codec, Piano
Codec_Settings_GMC;Impostazioni del codec, GMC
Codec_Settings_ITU;Impostazioni del codec, ITU
Codec_Settings_Law;Impostazioni del codec, Law
Codec_Settings_Matrix;Impostazioni del codec, Matrix
Codec_Settings_PacketBitStream;Impostazioni del codec, Packet bitstream
Codec_Settings_QPel;Impostazioni del codec, QPel
Codec_Settings_Sign;Impostazioni del codec, Sign
Codec_Url;Sito dove scaricare il codec richiesto
CodecConfigurationBox;
CodecID;ID codec
CodecID_Description;Descrizione del codec
CoDirector;
Collection;Collezione
Colorimetry;Colorimetria
ColorSpace;Spazio colore
colour_primaries;Colori primari
colour_range;
Comment;Commento
CommissionedBy;Commissionato da
Compilation;Compilation
CompleteName;Nome completo
CompletionDate;
ComplexityIndex;
Composer;Compositore
Compression_Mode;Modo compressione
Compression_Mode_Lossless;Senza perdita
Compression_Mode_Lossy;Con perdita
Compression_Ratio; Rapporto compressione
Conductor;Direttore d'orchestra 
ConformanceCheck;
ContactEmail;
ContactTelephoneNumber;
Container and general information;Tipo di file e informazioni generali
ContentType;Contenuto
CoProducer;Coproduttore
Copyright;Copyright
CopyrightYear;
CostumeDesigner;Costumista
Count;Contatore
Country;Stato
Cover;Copertina
Cover_Datas;Dati copertina
Cover_Description;Descrizione copertina
Cover_Mime;Copertina MIME
Cover_Type;Tipo di copertina
Cropped;Dimenzioni ritaglio
Custom;Vista personalizzata
Customize;Personalizza
DarkMode;
Date;Data
Debug;Debug
Decimal point;Separatore decimale
Default_Setting;
Delay;Ritardo
Delay_Source;Ritardo sorgente
Delay_Source_Container;Contenitore
Delay_Source_Stream;Flusso RAW
Delete;Elimina
Description;Decrizione
Digitized_Date;Data digitalizzazione
Dimensions;Dimensioni
Director;Regista
DirectorOfPhotography;Direttore della fotografia
Disabled;
DisplayAspectRatio;Rapporto aspetto visualizzazione
DisplayAspectRatio_CleanAperture;
DisplayAspectRatio_Original;Rapporto aspetto originale
DistributedBy;Distribuito da
Distributor;
Donate;Dona
DotsPerInch;Punti per pollice
DrcSets_Count;
DrcSets_Effects;
Duration;Durata
Duration_End;Fine
Duration_Start;Inizio
Edit;Modifica
EditedBy;Modificato da
ElementCount;
EMail;Email
Encoded_Application;Creato con
Encoded_Date;Data codifica
Encoded_Library;Compressore
Encoded_Library_Settings;Impostazioni compressione
Encoded_Original;Codificatore originale
EncodedBy;Compresso da
EPG_Positions;Posizioni EPG (interne)
EpisodeTitleNumber;
Error_File;Errore nella lettura del file
Error_File_Write;
ExecutiveProducer;Produttore esecutivo
Exit;Esci
Exit_Hint;Esci dal programma
Export;Esporta
Export_Hint;Esporta in un formato personalizzato
Extensions;Estensione generalmente usata
External_Media_NotMounted;
Family;Famiglia
Fax;Fax
File;File
File size;Dimensione file
File_Append;Aggiungi a un file esistente (attenzione: assicurarsi che abbiano caratteristiche uguali)
File_Created_Date;Data creazione
File_Created_Date_Local;Data creazione (locale)
File_Hint;Seleziona più file da aprire
File_Modified_Date;Data ultima modifica
File_Modified_Date_Local;Data ultima modifica (locale)
FileExtension;Estensione file
FileName;Nome
FileNameExtension;
FileSize;Dimensione
Folder;Cartella
Folder (R);Cartella (D)
Folder (R)_Hint;Seleziona la cartella da analizzare (e le sue sottocartelle)
Folder (Recursively);Cartella (e sottocartelle)
Folder_Hint;Seleziona la cartella da analizzare
FolderName;Cartella
Format;Formato
Format_Commercial;Nome commerciale
Format_Commercial_IfAny;Nome commereciale
Format_Compression;
Format_Description;Descrizione formato
Format_Info;Dettagli sui formati
Format_Level;
Format_Profile;Profilo formato
Format_Settings;Impostazioni formato
Format_Settings_BVOP;Impostazioni formato, BVOP
Format_Settings_CABAC;Impostazioni formato, CABAC
Format_Settings_Emphasis;Enfasi
Format_Settings_Endianness;Impostazioni formato, Endianness
Format_Settings_Firm;Impostazioni formato, Firm
Format_Settings_Floor;Impostazioni formato, Floor
Format_Settings_FrameMode;Modo frame
Format_Settings_GMC;Impostazioni formato, GMC
Format_Settings_GOP;Impostazioni formato, GOP
Format_Settings_ITU;Impostazioni formato, ITU
Format_Settings_Law;Impostazioni formato, Law
Format_Settings_Matrix;Impostazioni formato, Matrix
Format_Settings_Matrix_Custom;Personalizzato
Format_Settings_Matrix_Default;Predefinito
Format_Settings_Mode;Modo
Format_Settings_ModeExtension;Estensione modo
Format_Settings_PacketBitStream;Impostazioni formato, Packet bitstream
Format_Settings_PictureStructure;
Format_Settings_PS;Impostazioni formato, PS
Format_Settings_Pulldown;Impostazioni formato, Pulldown
Format_Settings_QPel;Impostazioni formato, QPel
Format_Settings_RefFrames;Impostazioni formato, RefFrames
