  Language_ISO639;nl
  Author_Email;fakir@mailxxl.com
  Author_Name;bvv
  Author_OldNames;Initial translator
  Language_Name;Nederlands
  Config_Text_ColumnSize;40
  Config_Text_Separator; : 
  Config_Text_NumberTag; #
  Config_Text_FloatSeparator;,
  Config_Text_ThousandsSeparator; 
 audio stream1; audiostroom
 audio stream2; audiostromen
 audio stream3; audiostromen
 bit1; bit
 bit2; bits
 bit3; bits
 bps; b/s
 Bps; B/s
 Byte1; Byte
 Byte2; Bytes
 Byte3; Bytes
 channel1; kanaal
 channel2; kanalen
 channel3; kanalen
 chapter1; hoofdstuk
 chapter2; hoofdstukken
 chapter3; hoofdstukken
 chapters stream1; hoofdstukkenstroom
 chapters stream2; hoofdstukkenstromen
 chapters stream3; hoofdstukkenstromen
 character1;
 character2;
 character3;
 day1; dag
 day2; dagen
 day3; dagen
 dB0;
 dB1; dB
 dB2; dB
 dB3; dB
 file1; bestand
 file2; bestanden
 file3; bestanden
 fps1; FPS
 fps2; FPS
 fps3; FPS
 frame1; frame
 frame2; frames
 frame3; frames
 GB; GB
 Gb; Gb
 Gbps; Gb/s
 GBps; GB/s
 GHz; GHz
 GiB; GiB
 GibiByte1; GibiBytes
 GibiByte2; GibiBytes
 GibiByte3; GibiBytes
 GiBps; GiB/s
 GigaBit1; GigaBit
 GigaBit2; GigaBits
 GigaBit3; GigaBits
 GigaByte1; GigaByte
 GigaByte2; GigaBytes
 GigaByte3; GigaBytes
 hour1; uur
 hour2; uren
 hour3; uren
 Hz; Hz
 image stream1; videostroom
 image stream2; videostromen
 image stream3; videostromen
 KB; kB
 Kb; kb
 KBps; kB/s
 Kbps; kb/s
 KHz; kHz
 KiB; KiB
 KibiBit1; KibiBit
 KibiBit2; KibiBits
 KibiBit3; KibiBits
 KibiByte1; KibiByte
 KibiByte2; KibiBytes
 KibiByte3; KibiBytes
 KiBps; KiB/s
 KiloBit1; KiloBit
 KiloBit2; KiloBits
 KiloBit3; KiloBits
 KiloByte1; KiloByte
 KiloByte2; KiloBytes
 KiloByte3; KiloBytes
 MB; MB
 Mb; Mb
 Mbps; Mb/s
 MBps; MebiBytes
 MebiBit1; MebiBit
 MebiBit2; MebiBits
 MebiBit3; MebiBits
