  Language_ISO639;pl
  Author_Email;gregg@cdrinfo.pl
  Author_Name;Gregg
  Author_OldNames;Gregg
  Language_Name;Polski
  Config_Text_ColumnSize;40
  Config_Text_Separator;: 
  Config_Text_NumberTag; #
  Config_Text_FloatSeparator;,
  Config_Text_ThousandsSeparator;.
 audio stream1; strumień audio
 audio stream2; strumienie audio
 audio stream3; strumieni audio
 bit1; bit
 bit2; bity
 bit3; bitów
 bps; b/s
 Bps; B/s
 Byte1; bajt
 Byte2; bajty
 Byte3; bajtów
 channel1; kanał
 channel2; kanały
 channel3; kanałów
 chapter1; rozdział
 chapter2; rozdziały
 chapter3; rozdziałów
 chapters stream1; strumień rozdziałów
 chapters stream2; strumienie rozdziałów
 chapters stream3; strumieni rozdziałów
 character1;
 character2;
 character3;
 day1; dzień
 day2; dni
 day3; dni
 dB1; dB
 dB2; dB
 dB3; dB
 file1; plik
 file2; pliki
 file3; plików
 fps1; kl/s
 fps2; kl/s
 fps3; kl/s
 frame1; klatka
 frame2; klatki
 frame3; klatek
 GB; GB
 Gb; Gb
 Gbps; Gb/s
 GBps; GB/s
 GHz; GHz
 GiB; GB
 GibiByte1; gigabajtów
 GibiByte2; gigabajtów
 GibiByte3; gigabajtów
 GiBps; GB/s
 GigaBit1; gigabit
 GigaBit2; gigabity
 GigaBit3; gigabitów
 GigaByte1; gigabajt
 GigaByte2; gigabajty
 GigaByte3; gigabajtów
 hour1; godzina
 hour2; godziny
 hour3; godzin
 Hz; Hz
 image stream1; strumień obrazu
 image stream2; strumienie obrazu
 image stream3; strumieni obrazu
 KB; kB
 Kb; kb
 KBps; kB/s
 Kbps; kb/s
 KHz; kHz
 KiB; KiB
 KibiBit1; kilobit
 KibiBit2; kilobity
 KibiBit3; kilobitów
 KibiByte1; kilobajt
 KibiByte2; kilobajty
 KibiByte3; kilobajtów
 KiBps; KiB/s
 KiloBit1; kilobit
 KiloBit2; kilobity
 KiloBit3; kilobitów
 KiloByte1; kilobajt
 KiloByte2; kilobajty
 KiloByte3; kilobajtów
 MB; MB
 Mb; Mb
 Mbps; Mb/s
 MBps; megabajtów
 MebiBit1; megabit
 MebiBit2; megabity
 MebiBit3; megabitów
 MebiByte1; megabajt
 MebiByte2; magebajty
 MebiByte3; magebajtów
 MegaBit1; megabit
 MegaBit2; megabity
 MegaBit3; megabitów
 MegaByte1; megabajt
 MegaByte2; megabajty
 MegaByte3; megabajtów
 MHz; MHz
 MiB; MiB
 Mib; Mib
 MiBps; MiB/s
 millisecond1; milisekunda
 millisecond2; milisekundy
 millisecond3; milisekund
 minute1; minuta
 minute2; minuty
 minute3; minut
 month1; miesiąc
 month2; miesiące
 month3; miesiący
 pixel1; piksel
 pixel2; piksele
 pixel3; pikseli
 second1; sekunda
 second2; sekundy
 second3; sekund
 text stream1; strumień napisów
 text stream2; strumienie napisów
 text stream3; strumieni napisów
 video frames1; klatka wideo
 video frames2; klatki wideo
