  Language_ISO639;pt-BR
  Author_Email;brunorex@gmail.com
  Author_Name;ReX
  Author_OldNames;ReX
  Language_Name;Português (Brasil)
  Config_Text_ColumnSize;40
  Config_Text_Separator; : 
  Config_Text_NumberTag; #
  Config_Text_FloatSeparator;.
  Config_Text_ThousandsSeparator; 
 audio stream1; fluxo de áudio
 audio stream2; fluxo de áudio
 audio stream3; fluxo de áudio
 bit1; bit
 bit2; bits
 bit3; bits
 Bps; B/s
 bps; b/s
 Byte1; Byte
 Byte2; Bytes
 Byte3; Bytes
 channel1; canal
 channel2; canais
 channel3; canais
 chapter1; capítulo
 chapter2; capítulos
 chapter3; capítulos
 chapters stream1; fluxo de capítulo
 chapters stream2; fluxo de capítulos
 chapters stream3; fluxo de capítulos
 character1; personagem
 character2; personagens
 character3; personagens
 day1; dia
 day2; dias
 day3; dias
 dB0;
 dB1; dB
 dB2; dB
 dB3; dB
 file1; arquivo
 file2; arquivos
 file3; arquivo
 fps1; FPS
 fps2; FPS
 fps3; FPS
 frame1; quadro
 frame2; quadros
 frame3; quadros
 GB; GB
 Gb; Gb
 GBps; GB/s
 Gbps; Gb/s
 GHz; GHz
 GiB; GiB
 GibiByte1; GibiBytes
 GibiByte2; GibiBytes
 GibiByte3; GibiBytes
 GiBps; GiB/s
 GigaBit1; GigaBit
 GigaBit2; GigaBits
 GigaBit3; GigaBits
 GigaByte1; GigaByte
 GigaByte2; GigaBytes
 GigaByte3; GigaBytes
 hour1; hora
 hour2; horas
 hour3; horas
 Hz; Hz
 image stream1; fluxo de imagem
 image stream2; fluxo de imagens
 image stream3; fluxo de imagens
 KB; kB
 Kb; kb
 KBps; kB/s
 Kbps; kb/s
 KHz; kHz
 KiB; KiB
 KibiBit1; KibiBit
 KibiBit2; KibiBits
 KibiBit3; KibiBits
 KibiByte1; KibiByte
 KibiByte2; KibiBytes
 KibiByte3; KibiBytes
 KiBps; KiB/s
 KiloBit1; KiloBit
 KiloBit2; KiloBits
 KiloBit3; KiloBits
 KiloByte1; KiloByte
 KiloByte2; KiloBytes
 KiloByte3; KiloBytes
 MB; MB
 Mb; Mb
 MBps; MebiBytes
 Mbps; Mb/s
 MebiBit1; MebiBit
 MebiBit2; MebiBits
 MebiBit3; MebiBits
 MebiByte1; MebiByte
 MebiByte2; MebiBytes
 MebiByte3; MebiBytes
 MegaBit1; MegaBit
 MegaBit2; MegaBits
 MegaBit3; MegaBits
 MegaByte1; MegaByte
 MegaByte2; MegaBytes
 MegaByte3; MegaBytes
 MHz; MHz
 MiB; MiB
 Mib; Mib
 MiBps; MiBps
 millisecond1; milissegundo
 millisecond2; milissegundos
 millisecond3; milissegundos
 minute1; minuto
 minute2; minutos
 minute3; minutos
 month1; mês
 month2; meses
 month3; meses
 object1; objeto
 object2; objetos
 object3; objetos
 pixel1; pixel
 pixel2; pixels
 pixel3; pixels
 second1; segundo
 second2; segundos
 second3; segundos
 slice per frame1; fatia por quadro
 slice per frame2; fatias por quadro
 slice per frame3; fatias por quadro
 text stream1; fluxo de texto
 text stream2; fluxo de texto
 text stream3; fluxo de texto
 video frames1; quadro de vídeo
 video frames2; quadros de vídeo
 video frames3; quadros de vídeo
 video stream1; fluxo de vídeo
 video stream2; fluxo de vídeo
 video stream3; fluxo de vídeo
 warppoint0;Sem warppoints
 warppoint1; warppoint
 warppoint2; warppoints
 warppoint3; warppoints
 week1; semana
 week2; semanas
 week3; semanas
 year1; ano
 year2; anos
 year3; anos
, ;, 
: ;: 
3D;3D
3DType;Tipo de 3D
5.1.2ch;5.1.2
5.1.4ch;5.1.4
5.1ch;5.1
608_Mode;Modo de conversão EIA-608
7.1.2ch;7.1.2
7.1ch;7.1
About;Sobre
About_Hint;Como me contatar e buscar a versão mais nova
AC3_Metadata;Metadados AC-3
Accompaniment;Acompanhamento
acmod;
Active_DisplayAspectRatio;Proporção de aspecto da tela ativa
Active_Height;Altura ativa
Active_Width;Largura ativa
ActiveFormatDescription;Descrição do Formato Ativo
ActiveFormatDescription_MuxingMode;Descrição do Formato Ativo, modo de multiplexação
Actor;Ator
Actor_Character;Personagem representado
Add creation date to text output;Adicionar data de criação à saída de texto
Add version to text output;Adicionar versão à saída de texto
Added_Date;Data de adição
Address;Endereço
AdID;Identificador Ad-ID
ADM: Show ChannelFormats;ADM: Exibir ChannelFormats
ADM: Show TrackUIDs;ADM: Exibir TrackUIDs
AdmProfile;Perfil ADM
Advanced mode -->;Modo avançado -->
Advanced mode;Modo avançado
Advanced;Avançado
Album;Álbum
Album_ReplayGain_Gain;Replay gain do álbum
Album_ReplayGain_Peak;Pico do replay gain do álbum
Alignment;Alinhamento
Alignment_Aligned;Alinhado intercalado
Alignment_Split;Dividir entre as intercalações
All;Todos
AllFields;Todos os campos
AlternateGroup;Grupo alternativo
AnalyzeServicesMenu;Analisar com o MediaInfo
App_About;Sobre o MediaInfo
App_Hide;Ocultar MediaInfo
App_Quit;Encerrar MediaInfo
Archival_Location;Local de arquivamento
Arranger;Arranjador
ArtDirector;Diretor de Arte
AspectRatio;Proporção de pixels
AssistantDirector;Diretor assistente
AssociatedVideo_FrameRate;Taxa de quadros de vídeo associada
At least one file;(Você deve abrir ao menos um arquivo)
at;em
Attachments;Anexos
Audio stream(s);Fluxos de áudio
Audio;Áudio
Audio_Channels_Total;
Audio_Codec_List;Codecs de áudio
Audio_Format_List;
Audio_Format_WithHint_List;
Audio_Language_List;
Audio_No;Sem áudio
Audio1;Primeiro fluxo de áudio
Audio2;Segundo fluxo de áudio
Audio3;Terceiro fluxo de áudio
AudioComments;Comentários em áudio
AudioCount;Contagem dos fluxos de áudio
AudioDescription;Descrição de áudio
AudioDescriptionPresent;Descrição de áudio presente
AudioDescriptionType;Tipo de descrição de áudio
AudioLoudnessStandard;Padrão de volume de áudio
AudioRenderingIndication;Indicação de renderização de áudio
AudioSceneInfoID;ID das informações da cena de áudio
AudioTrackLayout;Layout da faixa de áudio
Author;Autor
Back4ToBack2;
Balance_FrontBackListener;Balanço frontal/traseiro para o ouvinte
Balance_FrontBackOverheadFloor;Balanço frontal/traseiro entre can. super. e infer.
BarCode;Código de barras
Basic;Básico
Basic_Note;Nota : para mais informações do arquivo, selecione um modo de exibição diferente (Formulário, raiz...)
BedChannelConfiguration;Configuração dos canais bed
BedChannelCount;Contagem de canais bed
BinauralRenderMode;Modo de renderização binaural
BitDepth;Profundidade de bits
BitDepth_Detected;Profundidade de bits detectada
BitDepth_Stored;Profundidade de bits armazenada
BitRate;Taxa de bits
BitRate_Encoded;Taxa de bits codificada
BitRate_Maximum;Taxa de bits máxima
BitRate_Minimum;Taxa de bits mínima
BitRate_Mode;Modo da taxa de bits
BitRate_Mode_CBR;Constante
BitRate_Mode_VBR;Variável
BitRate_Nominal;Taxa de bits nominal
Bits-(Pixel*Frame);Bits/(Pixels*Quadros)
BitstreamLevel;Nível de Bitstream
Bring All to Front;Trazer Todas Para a Frente
bsid;
BufferSize;Tamanho do buffer
Cancel;Cancelar
CaptionServiceName;Nome do serviço de legenda
CatalogNumber;Número de catálogo
Channel(s);Nº de canais
Channel(s)_Original;
ChannelCoded;Codificação por canal
ChannelConfiguration;Configuração do canal
ChannelFormat;Formato do canal
ChannelLayout;Disposição dos canais
ChannelLayout_Original;
ChannelMode;Modo do canal
ChannelPositions;Posições dos canais
ChannelPositions_Original;
Chapter(s);Capítulo(s)
Chapters stream(s);Fluxo(s) de Capítulos
Chapters;Capítulos
Chapters_Codec_List;Codecs dos Capítulos
Chapters_No;Sem capítulos
Chapters_Pos_Begin;
Chapters_Pos_End;
ChaptersCount;Contagem de fluxos de capítulo
CharacterSet;
CheckNewVersion;Procurar nova versão
Choose custom sheet;Personalize o modo formulário
Choose custom text;Personalize o modo texto
Choose custom;Verificar nova versão
Choose export format;Escolha o formato de exportação
Choose file(s);Escolha os arquivos para abrir
Choose filename;Escolha o nome do arquivo
Choose language;Escolha o idioma
Choreographer;Coreógrafo
Chroma;Saturação
ChromaSubsampling;Subamostragem de croma
Classifier;Classificador de conteúdo
ClearList;Limpar lista
Close all before open;Fechar tudo antes de abrir
Close;Fechar 
CloseAll;Fechar todos os arquivos
