  Language_ISO639;sk
  Author_Email;
  Author_Name;Addams
  Author_OldNames;
  Language_Name;Slovak
  Config_Text_ColumnSize;40
  Config_Text_Separator; : 
  Config_Text_NumberTag; #
  Config_Text_FloatSeparator;,
  Config_Text_ThousandsSeparator; 
 audio stream1; audio stream
 audio stream2; audio streamy
 audio stream3; audio streamy
 bit1; bit
 bit2; bity
 bit3; bitov
 bps; b/s
 Bps; B/s
 Byte1; Byte
 Byte2; Byty
 Byte3; Bytov
 channel1; kanál
 channel2; kanály
 channel3; kanálov
 chapter1; kapitola
 chapter2; kapitoly
 chapter3; kapitol
 chapters stream1; chapters stream
 chapters stream2; chapters streams
 chapters stream3; chapters streams
 character1;
 character2;
 character3;
 day1; deň
 day2; dni
 day3; dní
 dB0;
 dB1; dB
 dB2; dB
 dB3; dB
 file1; súbor
 file2; súbory
 file3; súborov
 fps1; snímok/sek.
 fps2; snímok/sek.
 fps3; snímok/sek.
 frame1;snímka
 frame2;snímky
 frame3;snímok
 GB; GB
 Gb; Gb
 Gbps; Gb/s
 GBps; GB/s
 GHz; GHz
 GiB; GiB
 GibiByte1; GibiBytes
 GibiByte2; GibiBytes
 GibiByte3; GibiBytes
 GiBps; GiB/s
 GigaBit1; GigaBit
 GigaBit2; GigaBitov
 GigaBit3; GigaBitov
 GigaByte1; GigaByte
 GigaByte2; GigaBytov
 GigaByte3; GigaBytov
 hour1; hodina
 hour2; hodiny
 hour3; hodín
 Hz; Hz
 image stream1; image stream
 image stream2; image streams
 image stream3; image streams
 KB; kB
 Kb; kb
 KBps; kB/s
 Kbps; kb/s
 KHz; kHz
 KiB; kiB
 KibiBit1; kibiBit
 KibiBit2; kibiBitov
 KibiBit3; kibiBitov
 KibiByte1; kibiByte
 KibiByte2; kibiBytov
 KibiByte3; kibiBytov
 KiBps; kiB/s
 KiloBit1; kiloBit
 KiloBit2; kiloBitov
 KiloBit3; kiloBitov
 KiloByte1; kiloByte
 KiloByte2; kiloBytov
 KiloByte3; kiloBytov
 MB; MB
 Mb; Mb
 Mbps; Mb/s
 MBps; MebiBytov
 MebiBit1; MebiBit
 MebiBit2; MebiBitov
 MebiBit3; MebiBitov
 MebiByte1; MebiByte
 MebiByte2; MebiBytov
